code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
530549,Rataje,140,104,104,8,0,0,10,0,10,11,2,2,0,0,0,6,0,0,3,28,0,0,12,0,0,0,0,12,0
532550,Ratměřice,238,156,155,18,0,0,7,1,35,10,2,0,1,0,0,10,0,0,12,41,0,0,4,0,1,0,3,10,0
538710,Řehenice,366,252,252,34,0,0,15,0,26,8,2,4,2,0,0,48,1,1,20,69,0,0,4,0,1,0,0,17,0
532941,Řimovice,180,108,108,7,0,0,5,0,8,10,1,1,1,0,0,18,0,0,6,27,0,0,9,0,0,0,0,15,0
534382,Sázava,3090,1881,1867,216,5,2,203,2,193,155,27,7,22,3,4,180,0,5,78,515,1,4,37,0,7,9,5,182,5
532231,Slověnice,31,22,22,3,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,8,0,0,2,0,0,0,0,4,0
530611,Smilkov,231,146,144,3,0,0,15,0,14,17,1,1,0,0,0,8,0,0,1,62,0,0,10,0,0,0,0,12,0
532436,Snět,89,64,64,11,0,0,3,0,2,1,0,0,0,0,0,11,0,0,1,21,0,0,8,0,0,0,0,6,0
530638,Soběhrdy,319,227,225,23,0,0,17,0,24,12,2,1,2,2,0,25,0,0,14,74,0,0,9,0,2,1,1,16,0
599387,Soutice,219,146,146,6,0,0,14,0,11,8,1,1,4,0,0,8,0,0,2,70,0,0,4,0,0,3,0,14,0
599379,Stranný,82,51,51,6,0,0,7,0,5,6,0,0,0,0,0,4,0,0,5,13,0,0,0,0,1,0,0,3,1
599361,Strojetice,103,77,76,1,0,0,8,0,7,10,1,2,1,0,0,8,0,0,4,23,0,1,3,0,1,0,0,6,0
530689,Struhařov,670,461,459,59,1,2,24,0,32,35,7,2,5,0,1,48,0,1,15,180,0,0,10,0,2,0,1,31,3
530701,Střezimíř,263,174,174,12,0,0,5,0,17,12,1,2,6,0,0,16,0,0,1,76,0,0,7,1,0,0,0,18,0
530719,Studený,82,54,54,8,1,0,3,0,8,7,0,0,0,0,0,2,0,0,0,18,1,0,5,0,0,0,0,1,0
532509,Šetějovice,48,38,38,3,0,0,4,0,4,1,0,0,0,0,0,1,0,0,1,15,0,0,5,0,0,0,0,4,0
530751,Tehov,249,165,165,3,0,0,21,0,13,15,1,2,0,0,0,11,0,0,8,56,0,0,7,0,1,0,0,26,1
530760,Teplýšovice,383,289,288,22,0,0,25,0,41,17,6,2,3,0,0,26,0,1,4,96,0,1,24,0,3,0,0,17,0
530778,Tichonice,179,137,137,16,0,0,14,0,5,9,0,0,5,1,0,10,1,0,5,50,0,0,2,0,0,6,0,13,0
532592,Tisem,184,128,128,8,0,0,15,0,12,7,3,0,1,0,0,12,0,0,6,42,0,0,3,0,0,0,0,19,0
532541,Tomice,105,75,75,4,0,0,4,0,2,8,0,0,2,1,0,2,0,0,0,26,0,0,13,0,0,0,1,12,0
530816,Trhový Štěpánov,1029,643,634,62,0,1,42,0,48,40,5,7,6,0,0,59,0,0,25,217,0,2,45,0,6,1,2,66,0
532304,Třebešice,82,68,68,13,0,0,3,0,8,5,1,0,1,0,0,15,0,0,3,14,0,0,2,0,0,0,0,3,0
530841,Týnec nad Sázavou,4550,2943,2922,295,5,0,175,4,272,265,33,33,36,0,5,307,3,5,104,999,1,8,55,0,9,4,20,272,12
532061,Václavice,455,290,289,30,0,0,27,0,41,12,0,1,13,0,0,32,0,1,5,85,0,1,10,0,4,1,2,21,3
530867,Veliš,270,189,189,9,0,0,9,0,16,15,0,2,1,0,1,6,0,0,8,71,0,1,23,0,0,2,0,25,0
530883,Vlašim,9453,5687,5644,504,9,8,534,2,368,465,57,32,61,2,2,525,2,2,216,1862,2,7,309,3,30,12,8,610,12
532614,Vodslivy,84,43,43,5,0,0,3,0,1,0,0,1,2,1,0,4,0,0,2,10,0,0,5,0,0,0,1,8,0
530891,Vojkov,427,250,249,21,1,1,23,1,15,23,2,1,1,0,0,27,0,0,7,90,1,0,14,2,3,0,0,16,0
530905,Votice,3676,2230,2219,208,4,0,196,1,182,167,15,15,34,7,2,231,1,0,90,779,0,4,74,1,10,4,3,187,4
530913,Vracovice,326,201,199,14,1,0,14,0,15,9,0,3,6,0,0,22,0,0,10,67,3,0,22,0,0,1,0,12,0
530921,Vranov,332,244,244,29,0,0,11,0,26,21,2,1,3,1,1,28,0,1,14,80,1,0,14,0,0,0,0,11,0
530948,Vrchotovy Janovice,785,492,488,24,1,0,39,0,49,38,7,6,3,1,1,54,0,0,19,174,0,2,12,0,3,1,1,52,1
532266,Všechlapy,84,65,64,17,0,0,4,0,6,5,0,0,0,0,0,7,0,0,7,11,0,0,1,0,0,0,0,6,0
513482,Vysoký Újezd,163,113,113,20,0,0,11,0,1,12,3,5,4,1,0,3,0,0,8,30,0,0,2,0,8,0,1,4,0
571415,Xaverov,49,36,36,3,0,0,6,0,10,4,0,0,0,0,0,5,0,0,0,3,0,0,4,0,0,0,0,1,0
531022,Zdislavice,462,320,318,18,1,0,23,0,25,34,2,1,7,0,0,24,0,0,10,120,0,0,24,0,6,0,1,22,0
531049,Zvěstov,303,178,178,20,0,0,16,0,21,6,1,2,4,0,0,10,0,0,6,65,0,0,10,0,1,0,0,15,1
